역명,상세주소
답십리,서울특별시 성동구 용답동 99 답십리역
장한평,서울특별시 동대문구 장안동 472-3 장한평역
군자(능동),"서울특별시 광진구 능동 275-5 군자역(5, 7호선)"
아차산(어린이대공원후문),서울특별시 광진구 능동 256-16 아차산역
광나루(장신대),서울특별시 광진구 광장동 237 광나루역
천호(풍납토성),"서울특별시 강동구 천호동 455 천호역(5, 8호선)"
강동,서울특별시 강동구 천호동 447 강동역
길동,서울특별시 강동구 길동 378 길동역
굽은다리(강동구민회관앞),서울특별시 강동구 명일동 345-12 굽은다리역
명일,서울특별시 강동구 명일동 312 명일역
고덕,서울특별시 강동구 고덕동 310 고덕역
상일동,서울특별시 강동구 상일동 148 상일동역
둔촌동,서울특별시 강동구 둔촌동 416 둔촌동역
올림픽공원(한국체대),서울특별시 송파구 방이동 89-28 올림픽공원역
방이,서울특별시 송파구 방이동 217-2 방이역
개롱,서울특별시 송파구 오금동 165-2 개롱역
거여,서울특별시 송파구 거여동 20-14 거여역
마천,서울특별시 송파구 마천동 307-4 마천역
응암,서울특별시 은평구 역촌동 85-41 응암역
역촌,서울특별시 은평구 녹번동 144-69 역촌역
독바위,서울특별시 은평구 불광동 13-33 독바위역
구산,서울특별시 은평구 구산동 1 구산역
새절(신사),서울특별시 은평구 신사동 337-5 새절역
증산(명지대앞),서울특별시 은평구 증산동 199-8 증산역
디지털미디어시티,서울특별시 은평구 수색동 37-36 디지털미디어시티역
월드컵경기장(성산),서울특별시 마포구 성산동 420 월드컵경기장역
마포구청,서울특별시 마포구 성산동 592 마포구청역
망원,서울특별시 마포구 망원동 378 망원역
상수,서울특별시 마포구 상수동 309-10 상수역
광흥창(서강),서울특별시 마포구 창전동 145-17 광흥창역
대흥(서강대앞),서울특별시 마포구 대흥동 128-1 대흥역
효창공원앞,서울특별시 용산구 효창동 80 효창공원앞역
녹사평(용산구청),서울특별시 용산구 용산동 4가 4 녹사평역
이태원,서울특별시 용산구 이태원동 119-23 이태원역
한강진,서울특별시 용산구 한남동 726-494 한강진역
버티고개,서울특별시 중구 신당동 366-454 버티고개역
창신,서울특별시 종로구 창신동 20-8 창신역
보문,서울특별시 성북구 보문동 1가 127-1 보문역
안암(고대병원앞),서울특별시 성북구 안암동5가 146-1 안암역
고려대(종암),서울특별시 성북구 종암동 29-18 고려대역
월곡(동덕여대),서울특별시 성북구 하월곡동 35-1 월곡역
상월곡(한국과학기술연구원),서울특별시 성북구 상월곡동 26-1 상월곡역
돌곶이,서울특별시 성북구 석관동 349-8 돌곶이역
